epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4368208646774292,1.8596216440200806,0.001,0.15763972699642181,6.6055216789245605
1,0.8600680828094482,0.44077980518341064,0.001,0.7536433339118958,0.7513529062271118
2,0.9339926242828369,0.209172785282135,0.001,0.8768028616905212,0.2750878632068634
3,0.9555857181549072,0.1399976909160614,0.001,0.9574819803237915,0.14367948472499847
4,0.9653635621070862,0.10784424841403961,0.001,0.9814453125,0.05918441340327263
5,0.9719969034194946,0.08615609258413315,0.001,0.9994741678237915,0.002269337186589837
6,0.9768718481063843,0.07294105738401413,0.001,0.9859901070594788,0.03425905853509903
7,0.9791697859764099,0.06456408649682999,0.001,0.9980093240737915,0.007342922501266003
8,0.9846494197845459,0.04656415060162544,0.0005,0.9992488026618958,0.0036345655098557472
9,0.9869287610054016,0.040545832365751266,0.0005,0.999436616897583,0.00365655031055212
10,0.9889196753501892,0.03480244800448418,0.00025,0.999924898147583,0.00025320524582639337
11,0.9900360703468323,0.031189417466521263,0.00025,0.9999624490737915,0.0003137858584523201
12,0.9905756711959839,0.02956659346818924,0.00025,0.9992863535881042,0.0055391970090568066
13,0.9911525249481201,0.02731885388493538,0.000125,0.999924898147583,0.0002734276349656284
14,0.9914781451225281,0.02569662779569626,0.000125,0.9999624490737915,0.0004336725396569818
15,0.9917572140693665,0.024535181000828743,6.25e-05,0.9999624490737915,0.0004901658976450562
16,0.9919154047966003,0.025881804525852203,6.25e-05,0.9999624490737915,0.0002365416439715773
